dataset,positive,tau,min_samples,d,winner,edge_full,edge_fold,cov_leak,cov_fixed,cov_nested,lost_edge
titanic,survived,0.7,1,1,sex,1.0,0.7817,0.6813,0.6813,0.6807,0.0
titanic,survived,0.7,1,2,sex+title,0.5579,0.4568,0.6813,0.5207,0.6626,0.1606
titanic,survived,0.7,1,3,title+age_group+family_type,0.2478,0.2195,0.6725,0.617,0.6515,0.0561
titanic,survived,0.7,1,4,sex+title+age_group+family_type,0.2457,0.2072,0.6783,0.6135,0.6305,0.0654
