dataset,positive,tau,divisor,m,budget,method,coverage,purity,purity_reaches_tau,conditions,splits,seconds
nursery,spec_prior,0.9,none,20,32,vsf_partial,0.5707,0.98,1.0,29.6,10,1.5
nursery,spec_prior,0.9,none,20,8,rules_disjoint,0.3727,0.9711,1.0,8.0,10,1.5
nursery,spec_prior,0.9,none,20,32,rules_disjoint,0.5851,0.9688,1.0,31.0,10,1.5
nursery,priority,0.7,5,1,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,1,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,1,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,1,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,5,1,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,1,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,5,5,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,5,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,5,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,5,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,5,5,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,5,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,5,20,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,20,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,20,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,20,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,5,20,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,5,20,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,10,1,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,1,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,1,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,1,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,10,1,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,1,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,10,5,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,5,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,5,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,5,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,10,5,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,10,5,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,10,20,8,vsf,0.6301,0.7777,1.0,8.0,10,1.7
nursery,priority,0.7,10,20,32,vsf,0.6301,0.7777,1.0,8.0,10,1.7
nursery,priority,0.7,10,20,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.7
nursery,priority,0.7,10,20,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.7
nursery,priority,0.7,10,20,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.7
nursery,priority,0.7,10,20,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.7
nursery,priority,0.7,20,1,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,1,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,1,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,1,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,20,1,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,1,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,20,5,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,5,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,5,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,5,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,20,5,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,20,5,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,20,20,8,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,20,20,32,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,20,20,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,20,20,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.9
nursery,priority,0.7,20,20,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,20,20,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.9
nursery,priority,0.7,none,1,8,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,1,32,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,1,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,1,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.9
nursery,priority,0.7,none,1,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,1,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.9
nursery,priority,0.7,none,5,8,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,none,5,32,vsf,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,none,5,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,none,5,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.8
nursery,priority,0.7,none,5,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.8
nursery,priority,0.7,none,5,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.8
nursery,priority,0.7,none,20,8,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,20,32,vsf,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,20,8,vsf_partial,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,20,32,vsf_partial,0.857,0.7902,1.0,20.8,10,1.9
nursery,priority,0.7,none,20,8,rules_disjoint,0.6301,0.7777,1.0,8.0,10,1.9
nursery,priority,0.7,none,20,32,rules_disjoint,0.8698,0.7876,1.0,24.4,10,1.9
hmda,yes,0.5,5,1,8,vsf,0.1825,0.5233,0.7,4.6,10,5.8
hmda,yes,0.5,5,1,32,vsf,0.2632,0.6574,1.0,30.8,10,5.8
hmda,yes,0.5,5,1,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,5.8
hmda,yes,0.5,5,1,32,vsf_partial,0.3,0.5403,0.6,23.7,10,5.8
hmda,yes,0.5,5,1,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,5.8
hmda,yes,0.5,5,1,32,rules_disjoint,0.3561,0.5126,0.8,31.5,10,5.8
hmda,yes,0.5,5,5,8,vsf,0.1825,0.5251,0.7,4.4,10,4.2
hmda,yes,0.5,5,5,32,vsf,0.2333,0.6395,0.9,19.1,10,4.2
hmda,yes,0.5,5,5,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,4.2
hmda,yes,0.5,5,5,32,vsf_partial,0.314,0.6043,0.8,15.5,10,4.2
hmda,yes,0.5,5,5,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,4.2
hmda,yes,0.5,5,5,32,rules_disjoint,0.3596,0.5149,0.8,31.2,10,4.2
hmda,yes,0.5,5,20,8,vsf,0.1877,0.535,0.7,4.4,10,2.7
hmda,yes,0.5,5,20,32,vsf,0.1842,0.5337,0.7,6.6,10,2.7
hmda,yes,0.5,5,20,8,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.7
hmda,yes,0.5,5,20,32,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.7
hmda,yes,0.5,5,20,8,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.7
hmda,yes,0.5,5,20,32,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.7
hmda,yes,0.5,10,1,8,vsf,0.1825,0.5233,0.7,4.6,10,5.3
hmda,yes,0.5,10,1,32,vsf,0.2632,0.6574,1.0,30.8,10,5.3
hmda,yes,0.5,10,1,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,5.3
hmda,yes,0.5,10,1,32,vsf_partial,0.3,0.5403,0.6,23.7,10,5.3
hmda,yes,0.5,10,1,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,5.3
hmda,yes,0.5,10,1,32,rules_disjoint,0.3561,0.5126,0.8,31.5,10,5.3
hmda,yes,0.5,10,5,8,vsf,0.1825,0.5251,0.7,4.4,10,4.0
hmda,yes,0.5,10,5,32,vsf,0.2333,0.6395,0.9,19.1,10,4.0
hmda,yes,0.5,10,5,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,4.0
hmda,yes,0.5,10,5,32,vsf_partial,0.314,0.6043,0.8,15.5,10,4.0
hmda,yes,0.5,10,5,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,4.0
hmda,yes,0.5,10,5,32,rules_disjoint,0.3596,0.5149,0.8,31.2,10,4.0
hmda,yes,0.5,10,20,8,vsf,0.1877,0.535,0.7,4.4,10,2.4
hmda,yes,0.5,10,20,32,vsf,0.1842,0.5337,0.7,6.6,10,2.4
hmda,yes,0.5,10,20,8,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.4
hmda,yes,0.5,10,20,32,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.4
hmda,yes,0.5,10,20,8,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.4
hmda,yes,0.5,10,20,32,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.4
hmda,yes,0.5,20,1,8,vsf,0.1825,0.5233,0.7,4.6,10,5.8
hmda,yes,0.5,20,1,32,vsf,0.2632,0.6574,1.0,30.8,10,5.8
hmda,yes,0.5,20,1,8,vsf_partial,0.2912,0.6048,0.9,7.7,10,5.8
hmda,yes,0.5,20,1,32,vsf_partial,0.2965,0.5386,0.5,22.3,10,5.8
hmda,yes,0.5,20,1,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,5.8
hmda,yes,0.5,20,1,32,rules_disjoint,0.3561,0.5126,0.8,31.5,10,5.8
hmda,yes,0.5,20,5,8,vsf,0.1825,0.5251,0.7,4.4,10,4.1
hmda,yes,0.5,20,5,32,vsf,0.2281,0.6235,0.8,19.9,10,4.1
hmda,yes,0.5,20,5,8,vsf_partial,0.2912,0.6048,0.9,7.7,10,4.1
hmda,yes,0.5,20,5,32,vsf_partial,0.293,0.5772,0.7,12.9,10,4.1
hmda,yes,0.5,20,5,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,4.1
hmda,yes,0.5,20,5,32,rules_disjoint,0.3596,0.5149,0.8,31.2,10,4.1
hmda,yes,0.5,20,20,8,vsf,0.1877,0.535,0.7,4.4,10,2.8
hmda,yes,0.5,20,20,32,vsf,0.1842,0.5337,0.7,6.6,10,2.8
hmda,yes,0.5,20,20,8,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.8
hmda,yes,0.5,20,20,32,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.8
hmda,yes,0.5,20,20,8,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.8
hmda,yes,0.5,20,20,32,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.8
hmda,yes,0.5,none,1,8,vsf,0.1825,0.5233,0.7,4.6,10,5.4
hmda,yes,0.5,none,1,32,vsf,0.2632,0.6574,1.0,30.8,10,5.4
hmda,yes,0.5,none,1,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,5.4
hmda,yes,0.5,none,1,32,vsf_partial,0.3,0.5403,0.6,23.7,10,5.4
hmda,yes,0.5,none,1,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,5.4
hmda,yes,0.5,none,1,32,rules_disjoint,0.3561,0.5126,0.8,31.5,10,5.4
hmda,yes,0.5,none,5,8,vsf,0.1825,0.5251,0.7,4.4,10,4.0
hmda,yes,0.5,none,5,32,vsf,0.2333,0.6395,0.9,19.1,10,4.0
hmda,yes,0.5,none,5,8,vsf_partial,0.3035,0.6165,0.9,7.7,10,4.0
hmda,yes,0.5,none,5,32,vsf_partial,0.314,0.6043,0.8,15.5,10,4.0
hmda,yes,0.5,none,5,8,rules_disjoint,0.2895,0.6515,1.0,7.4,10,4.0
hmda,yes,0.5,none,5,32,rules_disjoint,0.3596,0.5149,0.8,31.2,10,4.0
hmda,yes,0.5,none,20,8,vsf,0.1877,0.535,0.7,4.4,10,2.4
hmda,yes,0.5,none,20,32,vsf,0.1842,0.5337,0.7,6.6,10,2.4
hmda,yes,0.5,none,20,8,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.4
hmda,yes,0.5,none,20,32,vsf_partial,0.2947,0.6312,0.9,7.1,10,2.4
hmda,yes,0.5,none,20,8,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.4
hmda,yes,0.5,none,20,32,rules_disjoint,0.2719,0.6618,1.0,5.9,10,2.4
credit,bad,0.7,5,1,8,vsf,0.1647,0.7295,0.7,3.8,10,12.6
credit,bad,0.7,5,1,32,vsf,0.1738,0.698,0.5,31.6,10,12.6
credit,bad,0.7,5,1,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,12.6
credit,bad,0.7,5,1,32,vsf_partial,0.2703,0.7272,0.7,31.0,10,12.6
credit,bad,0.7,5,1,8,rules_disjoint,0.2249,0.7242,0.6,8.0,10,12.6
credit,bad,0.7,5,1,32,rules_disjoint,0.3226,0.6856,0.3,31.9,10,12.6
credit,bad,0.7,5,5,8,vsf,0.1643,0.7291,0.7,3.2,10,9.7
credit,bad,0.7,5,5,32,vsf,0.1727,0.6964,0.5,29.4,10,9.7
credit,bad,0.7,5,5,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,9.7
credit,bad,0.7,5,5,32,vsf_partial,0.2647,0.7151,0.5,30.4,10,9.7
credit,bad,0.7,5,5,8,rules_disjoint,0.2241,0.7247,0.6,7.6,10,9.7
credit,bad,0.7,5,5,32,rules_disjoint,0.3218,0.6859,0.3,31.2,10,9.7
credit,bad,0.7,5,20,8,vsf,0.1643,0.7291,0.7,3.2,10,6.9
credit,bad,0.7,5,20,32,vsf,0.1754,0.7235,0.7,18.8,10,6.9
credit,bad,0.7,5,20,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,6.9
credit,bad,0.7,5,20,32,vsf_partial,0.2444,0.7346,0.7,13.4,10,6.9
credit,bad,0.7,5,20,8,rules_disjoint,0.2233,0.7293,0.6,6.8,10,6.9
credit,bad,0.7,5,20,32,rules_disjoint,0.3026,0.6997,0.5,22.9,10,6.9
credit,bad,0.7,10,1,8,vsf,0.1647,0.7295,0.7,3.8,10,13.1
credit,bad,0.7,10,1,32,vsf,0.1738,0.698,0.5,31.6,10,13.1
credit,bad,0.7,10,1,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,13.1
credit,bad,0.7,10,1,32,vsf_partial,0.2703,0.7272,0.7,31.0,10,13.1
credit,bad,0.7,10,1,8,rules_disjoint,0.2249,0.7242,0.6,8.0,10,13.1
credit,bad,0.7,10,1,32,rules_disjoint,0.3226,0.6856,0.3,31.9,10,13.1
credit,bad,0.7,10,5,8,vsf,0.1643,0.7291,0.7,3.2,10,9.4
credit,bad,0.7,10,5,32,vsf,0.1727,0.6964,0.5,29.4,10,9.4
credit,bad,0.7,10,5,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,9.4
credit,bad,0.7,10,5,32,vsf_partial,0.2647,0.7151,0.5,30.4,10,9.4
credit,bad,0.7,10,5,8,rules_disjoint,0.2241,0.7247,0.6,7.6,10,9.4
credit,bad,0.7,10,5,32,rules_disjoint,0.3218,0.6859,0.3,31.2,10,9.4
credit,bad,0.7,10,20,8,vsf,0.1643,0.7291,0.7,3.2,10,6.3
credit,bad,0.7,10,20,32,vsf,0.1754,0.7235,0.7,18.8,10,6.3
credit,bad,0.7,10,20,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,6.3
credit,bad,0.7,10,20,32,vsf_partial,0.2444,0.7346,0.7,13.4,10,6.3
credit,bad,0.7,10,20,8,rules_disjoint,0.2233,0.7293,0.6,6.8,10,6.3
credit,bad,0.7,10,20,32,rules_disjoint,0.3026,0.6997,0.5,22.9,10,6.3
credit,bad,0.7,20,1,8,vsf,0.1647,0.7295,0.7,3.8,10,12.6
credit,bad,0.7,20,1,32,vsf,0.1738,0.698,0.5,31.6,10,12.6
credit,bad,0.7,20,1,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,12.6
credit,bad,0.7,20,1,32,vsf_partial,0.2707,0.7266,0.6,31.0,10,12.6
credit,bad,0.7,20,1,8,rules_disjoint,0.2249,0.7242,0.6,8.0,10,12.6
credit,bad,0.7,20,1,32,rules_disjoint,0.3226,0.6856,0.3,31.9,10,12.6
credit,bad,0.7,20,5,8,vsf,0.1643,0.7291,0.7,3.2,10,9.7
credit,bad,0.7,20,5,32,vsf,0.1727,0.6964,0.5,29.4,10,9.7
credit,bad,0.7,20,5,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,9.7
credit,bad,0.7,20,5,32,vsf_partial,0.2651,0.7145,0.5,30.4,10,9.7
credit,bad,0.7,20,5,8,rules_disjoint,0.2241,0.7247,0.6,7.6,10,9.7
credit,bad,0.7,20,5,32,rules_disjoint,0.3218,0.6859,0.3,31.2,10,9.7
credit,bad,0.7,20,20,8,vsf,0.1643,0.7291,0.7,3.2,10,6.9
credit,bad,0.7,20,20,32,vsf,0.1754,0.7235,0.7,18.8,10,6.9
credit,bad,0.7,20,20,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,6.9
credit,bad,0.7,20,20,32,vsf_partial,0.2444,0.7346,0.7,13.4,10,6.9
credit,bad,0.7,20,20,8,rules_disjoint,0.2233,0.7293,0.6,6.8,10,6.9
credit,bad,0.7,20,20,32,rules_disjoint,0.3026,0.6997,0.5,22.9,10,6.9
credit,bad,0.7,none,1,8,vsf,0.1647,0.7295,0.7,3.8,10,12.0
credit,bad,0.7,none,1,32,vsf,0.1738,0.698,0.5,31.6,10,12.0
credit,bad,0.7,none,1,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,12.0
credit,bad,0.7,none,1,32,vsf_partial,0.2703,0.7272,0.7,31.0,10,12.0
credit,bad,0.7,none,1,8,rules_disjoint,0.2249,0.7242,0.6,8.0,10,12.0
credit,bad,0.7,none,1,32,rules_disjoint,0.3226,0.6856,0.3,31.9,10,12.0
credit,bad,0.7,none,5,8,vsf,0.1643,0.7291,0.7,3.2,10,8.7
credit,bad,0.7,none,5,32,vsf,0.1727,0.6964,0.5,29.4,10,8.7
credit,bad,0.7,none,5,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,8.7
credit,bad,0.7,none,5,32,vsf_partial,0.2647,0.7151,0.5,30.4,10,8.7
credit,bad,0.7,none,5,8,rules_disjoint,0.2241,0.7247,0.6,7.6,10,8.7
credit,bad,0.7,none,5,32,rules_disjoint,0.3218,0.6859,0.3,31.2,10,8.7
credit,bad,0.7,none,20,8,vsf,0.1643,0.7291,0.7,3.2,10,6.1
credit,bad,0.7,none,20,32,vsf,0.1754,0.7235,0.7,18.8,10,6.1
credit,bad,0.7,none,20,8,vsf_partial,0.2153,0.7309,0.7,7.8,10,6.1
credit,bad,0.7,none,20,32,vsf_partial,0.2444,0.7346,0.7,13.4,10,6.1
credit,bad,0.7,none,20,8,rules_disjoint,0.2233,0.7293,0.6,6.8,10,6.1
credit,bad,0.7,none,20,32,rules_disjoint,0.3026,0.6997,0.5,22.9,10,6.1
mlc_churn,yes,0.7,5,1,8,vsf,0.1203,0.7278,0.5,2.8,10,3.6
mlc_churn,yes,0.7,5,1,32,vsf,0.2355,0.8339,1.0,32.0,10,3.6
mlc_churn,yes,0.7,5,1,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.6
mlc_churn,yes,0.7,5,1,32,vsf_partial,0.2915,0.7813,0.8,16.2,10,3.6
mlc_churn,yes,0.7,5,1,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.6
mlc_churn,yes,0.7,5,1,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.6
mlc_churn,yes,0.7,5,5,8,vsf,0.1203,0.7278,0.5,2.8,10,3.1
mlc_churn,yes,0.7,5,5,32,vsf,0.2355,0.8339,1.0,32.0,10,3.1
mlc_churn,yes,0.7,5,5,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.1
mlc_churn,yes,0.7,5,5,32,vsf_partial,0.3055,0.8295,1.0,14.2,10,3.1
mlc_churn,yes,0.7,5,5,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.1
mlc_churn,yes,0.7,5,5,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.1
mlc_churn,yes,0.7,5,20,8,vsf,0.1203,0.7278,0.5,2.8,10,2.1
mlc_churn,yes,0.7,5,20,32,vsf,0.1704,0.7469,0.7,10.5,10,2.1
mlc_churn,yes,0.7,5,20,8,vsf_partial,0.242,0.7772,0.9,6.1,10,2.1
mlc_churn,yes,0.7,5,20,32,vsf_partial,0.2561,0.7851,0.9,7.9,10,2.1
mlc_churn,yes,0.7,5,20,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,2.1
mlc_churn,yes,0.7,5,20,32,rules_disjoint,0.3345,0.7596,0.9,14.5,10,2.1
mlc_churn,yes,0.7,10,1,8,vsf,0.1203,0.7278,0.5,2.8,10,3.3
mlc_churn,yes,0.7,10,1,32,vsf,0.2355,0.8339,1.0,32.0,10,3.3
mlc_churn,yes,0.7,10,1,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.3
mlc_churn,yes,0.7,10,1,32,vsf_partial,0.2915,0.7813,0.8,16.2,10,3.3
mlc_churn,yes,0.7,10,1,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.3
mlc_churn,yes,0.7,10,1,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.3
mlc_churn,yes,0.7,10,5,8,vsf,0.1203,0.7278,0.5,2.8,10,3.3
mlc_churn,yes,0.7,10,5,32,vsf,0.2355,0.8339,1.0,32.0,10,3.3
mlc_churn,yes,0.7,10,5,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.3
mlc_churn,yes,0.7,10,5,32,vsf_partial,0.3055,0.8295,1.0,14.2,10,3.3
mlc_churn,yes,0.7,10,5,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.3
mlc_churn,yes,0.7,10,5,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.3
mlc_churn,yes,0.7,10,20,8,vsf,0.1203,0.7278,0.5,2.8,10,2.1
mlc_churn,yes,0.7,10,20,32,vsf,0.1704,0.7469,0.7,10.5,10,2.1
mlc_churn,yes,0.7,10,20,8,vsf_partial,0.242,0.7772,0.9,6.1,10,2.1
mlc_churn,yes,0.7,10,20,32,vsf_partial,0.2561,0.7851,0.9,7.9,10,2.1
mlc_churn,yes,0.7,10,20,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,2.1
mlc_churn,yes,0.7,10,20,32,rules_disjoint,0.3345,0.7596,0.9,14.5,10,2.1
mlc_churn,yes,0.7,20,1,8,vsf,0.1203,0.7278,0.5,2.8,10,3.5
mlc_churn,yes,0.7,20,1,32,vsf,0.2355,0.8339,1.0,32.0,10,3.5
mlc_churn,yes,0.7,20,1,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.5
mlc_churn,yes,0.7,20,1,32,vsf_partial,0.2915,0.7813,0.8,16.2,10,3.5
mlc_churn,yes,0.7,20,1,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.5
mlc_churn,yes,0.7,20,1,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.5
mlc_churn,yes,0.7,20,5,8,vsf,0.1203,0.7278,0.5,2.8,10,3.2
mlc_churn,yes,0.7,20,5,32,vsf,0.2355,0.8339,1.0,32.0,10,3.2
mlc_churn,yes,0.7,20,5,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.2
mlc_churn,yes,0.7,20,5,32,vsf_partial,0.3055,0.8295,1.0,14.2,10,3.2
mlc_churn,yes,0.7,20,5,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.2
mlc_churn,yes,0.7,20,5,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.2
mlc_churn,yes,0.7,20,20,8,vsf,0.1203,0.7278,0.5,2.8,10,2.3
mlc_churn,yes,0.7,20,20,32,vsf,0.1704,0.7469,0.7,10.5,10,2.3
mlc_churn,yes,0.7,20,20,8,vsf_partial,0.242,0.7772,0.9,6.1,10,2.3
mlc_churn,yes,0.7,20,20,32,vsf_partial,0.2561,0.7851,0.9,7.9,10,2.3
mlc_churn,yes,0.7,20,20,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,2.3
mlc_churn,yes,0.7,20,20,32,rules_disjoint,0.3345,0.7596,0.9,14.5,10,2.3
mlc_churn,yes,0.7,none,1,8,vsf,0.1203,0.7278,0.5,2.8,10,3.5
mlc_churn,yes,0.7,none,1,32,vsf,0.2355,0.8339,1.0,32.0,10,3.5
mlc_churn,yes,0.7,none,1,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.5
mlc_churn,yes,0.7,none,1,32,vsf_partial,0.2915,0.7813,0.8,16.2,10,3.5
mlc_churn,yes,0.7,none,1,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.5
mlc_churn,yes,0.7,none,1,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.5
mlc_churn,yes,0.7,none,5,8,vsf,0.1203,0.7278,0.5,2.8,10,3.4
mlc_churn,yes,0.7,none,5,32,vsf,0.2355,0.8339,1.0,32.0,10,3.4
mlc_churn,yes,0.7,none,5,8,vsf_partial,0.2441,0.7751,0.9,6.7,10,3.4
mlc_churn,yes,0.7,none,5,32,vsf_partial,0.3055,0.8295,1.0,14.2,10,3.4
mlc_churn,yes,0.7,none,5,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,3.4
mlc_churn,yes,0.7,none,5,32,rules_disjoint,0.3975,0.7535,1.0,30.7,10,3.4
mlc_churn,yes,0.7,none,20,8,vsf,0.1203,0.7278,0.5,2.8,10,2.3
mlc_churn,yes,0.7,none,20,32,vsf,0.1704,0.7469,0.7,10.5,10,2.3
mlc_churn,yes,0.7,none,20,8,vsf_partial,0.242,0.7772,0.9,6.1,10,2.3
mlc_churn,yes,0.7,none,20,32,vsf_partial,0.2561,0.7851,0.9,7.9,10,2.3
mlc_churn,yes,0.7,none,20,8,rules_disjoint,0.2582,0.7577,0.9,7.2,10,2.3
mlc_churn,yes,0.7,none,20,32,rules_disjoint,0.3345,0.7596,0.9,14.5,10,2.3
adult,>50K,0.7,5,1,8,vsf,0.2562,0.7313,1.0,6.0,10,67.7
