dataset,positive,tau,min_samples,d,n_repeats,seed,winner,in_sample_coverage,in_sample_purity,fixed_cv_coverage,fixed_cv_se,fixed_cv_purity,nested_cv_coverage,nested_cv_se,nested_cv_purity,nested_minus_fixed_t,nested_all_rows_coverage,nested_all_rows_purity,all_rows_minus_train,all_rows_minus_train_se,share_same_winner_all_rows,share_same_winner,n_distinct_winners,mean_pairwise_jaccard,d_star_nested,seconds_nested
nursery,spec_prior,0.9,1,1,5,0,has_nurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.88,2,0.78,4,0.7
nursery,spec_prior,0.9,1,2,5,0,has_nurs+health,0.2114,0.9896,0.2114,0.0066,0.9896,0.2114,0.0066,0.9896,0.0,0.2114,0.9896,0.0,0.0,1.0,1.0,1,1.0,4,0.7
nursery,spec_prior,0.9,1,3,5,0,parents+has_nurs+health,0.4228,0.9896,0.4228,0.0098,0.9896,0.4228,0.0098,0.9896,0.0,0.4228,0.9896,0.0,0.0,1.0,1.0,1,1.0,4,0.7
nursery,spec_prior,0.9,1,4,5,0,parents+has_nurs+housing+health,0.6484,0.9754,0.6484,0.0097,0.9754,0.6484,0.0097,0.9754,0.0,0.6484,0.9754,0.0,0.0,1.0,1.0,1,1.0,4,0.7
nursery,priority,0.7,1,1,5,0,health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,3,0.7
nursery,priority,0.7,1,2,5,0,has_nurs+health,0.6301,0.7778,0.6301,0.0107,0.7777,0.6301,0.0107,0.7777,0.0,0.6301,0.7777,0.0,0.0,1.0,1.0,1,1.0,3,0.7
nursery,priority,0.7,1,3,5,0,parents+has_nurs+health,0.8087,0.8557,0.8087,0.0053,0.8558,0.8087,0.0053,0.8558,0.0,0.8087,0.8558,0.0,0.0,1.0,1.0,1,1.0,3,0.7
nursery,priority,0.7,1,4,5,0,parents+has_nurs+children+health,0.7595,0.8824,0.72,0.0138,0.884,0.7393,0.0124,0.8699,1.46,0.7393,0.8699,0.0,0.0,0.2,0.2,3,0.745,3,0.7
