dataset,positive,tau,min_samples,d,winner,edge_full,edge_fold,cov_leak,cov_fixed,cov_nested,lost_edge
titanic,survived,0.9,1,1,port_embarked,0.0,0.0,0.0058,0.0047,0.0,0.0012
titanic,survived,0.9,1,2,passenger_class+title,0.4118,0.4279,0.4972,0.4485,0.4831,0.0487
titanic,survived,0.9,1,3,passenger_class+sex+age_group,0.32,0.389,0.5118,0.4431,0.4743,0.0686
titanic,survived,0.9,1,4,passenger_class+title+deck+fare_level,0.419,0.3743,0.5235,0.3871,0.4555,0.1369
