dataset,positive,tau,min_samples,n_repeats,max_d,selection,method,budget,coverage,coverage_se,purity,splits_with_groups,purity_reaches_tau,net_coverage,net_coverage_se,stability,conditions_spent,train_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,fold0_groups,selection_seconds,config,sig,net_sig
adult,>50K,0.7,20,2,4,purity,vsf,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3#14,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf,2,0.1891,0.006,0.7069,10,0.7,0.0057,0.0082,0.821,2.0,0.191,0.0,0.0,0.0,0.0,X_4+X_5#35,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf,4,0.1908,0.0041,0.7081,10,0.7,0.0069,0.0096,0.98,2.1,0.1912,0.0,0.0,0.0,0.0,X_4+X_5#35,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf,8,0.2562,0.0065,0.7313,10,1.0,0.0366,0.0108,1.0,6.0,0.2562,0.0,0.0,0.0,0.0,X_4+X_9+X_10#8 | X_4+X_9+X_10#7,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf,16,0.2829,0.0136,0.7215,10,0.9,0.0277,0.0104,0.506,14.3,0.286,0.0,0.0,0.0,0.0,X_2+X_4+X_5+X_7#418 | X_2+X_4+X_5+X_7#447 | X_2+X_4+X_5+X_7#693 | X_2+X_4+X_5+X_7#813,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf,32,0.3146,0.0115,0.7389,10,1.0,0.0538,0.0168,0.613,29.6,0.3195,0.0,0.0,0.0,0.0,X_2+X_4+X_5+X_7#418 | X_2+X_4+X_5+X_7#447 | X_2+X_4+X_5+X_7#693 | X_2+X_4+X_5+X_7#813 | X_2+X_4+X_5+X_7#952 | X_2+X_4+X_5+X_7#705 | X_2+X_4+X_5+X_7#91 | X_2+X_4+X_5+X_7#75,0.227,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3#14,1.737,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,2,0.1891,0.006,0.7069,10,0.7,0.0057,0.0082,0.821,2.0,0.191,0.0,0.0,0.0,0.0,X_4+X_5#35,1.737,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,4,0.2562,0.0065,0.7313,10,1.0,0.0366,0.0108,1.0,4.0,0.2562,0.0654,0.0078,0.0297,0.0185,X_4+X_9#5 | X_4+X_10#5,1.737,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,8,0.3577,0.0102,0.7124,10,0.9,0.0204,0.0122,0.807,8.0,0.3604,0.1016,0.0096,-0.0161,0.018,X_4+X_5#35 | X_2+X_4+X_5#159 | X_2+X_4+X_5#234,1.737,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,16,0.3951,0.0128,0.7136,10,0.9,0.0247,0.0102,0.837,14.7,0.3981,0.1123,0.0113,-0.003,0.0067,X_4+X_5#35 | X_2+X_4+X_5#159 | X_2+X_4+X_5#234 | X_2+X_3+X_4+X_5#1164 | X_3+X_4+X_5#603,1.737,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,vsf_partial,32,0.4235,0.0121,0.7155,10,1.0,0.0301,0.0117,0.914,31.0,0.4253,0.109,0.0074,-0.0237,0.0162,X_4+X_5#35 | X_2+X_4+X_5#159 | X_2+X_4+X_5#234 | X_2+X_3+X_4+X_5#1164 | X_3+X_4+X_5#603 | X_2+X_4+X_5#24 | X_2+X_3+X_5#211 | X_2+X_3+X_4+X_5#1574 | X_2+X_3+X_4+X_5#2188 | X_3+X_4+X_5#799,1.737,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,vsf_greedy,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3#14,0.035,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf_greedy,2,0.0999,0.0023,0.765,10,1.0,0.0283,0.0037,1.0,2.0,0.0999,-0.0892,0.005,0.0226,0.0089,X_3+X_4#78,0.035,adult >50K t=0.7 m=20 d<=4 puri,-,+
adult,>50K,0.7,20,2,4,purity,vsf_greedy,4,0.1535,0.0054,0.7228,10,0.8,0.0145,0.0129,0.644,3.2,0.1531,-0.0373,0.005,0.0077,0.0134,X_2+X_3+X_4#286,0.035,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,vsf_greedy,8,0.2027,0.0104,0.7388,10,1.0,0.033,0.0125,0.7,6.0,0.2014,-0.0535,0.0115,-0.0036,0.0186,X_2+X_3+X_4#286 | X_2+X_3+X_4#305,0.035,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,vsf_greedy,16,0.2627,0.0073,0.7404,10,1.0,0.0469,0.0104,0.832,15.0,0.2637,-0.0202,0.0102,0.0192,0.0144,X_2+X_3+X_4#286 | X_2+X_3+X_4#305 | X_2+X_3+X_4#358 | X_2+X_3+X_4#207 | X_2+X_3+X_4#317,0.035,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,vsf_greedy,32,0.3164,0.0103,0.7492,10,1.0,0.0687,0.0084,0.847,30.0,0.3183,0.0018,0.0055,0.0148,0.0141,X_2+X_3+X_4#286 | X_2+X_3+X_4#305 | X_2+X_3+X_4#358 | X_2+X_3+X_4#207 | X_2+X_3+X_4#317 | X_2+X_3+X_4#292 | X_2+X_3+X_4#465 | X_2+X_3+X_4#114 | X_2+X_3+X_4#381 | X_2+X_3+X_4#532,0.035,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3=14,1.898,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules,2,0.1891,0.006,0.7069,10,0.7,0.0057,0.0082,0.821,2.0,0.191,0.0,0.0,0.0,0.0,X_4=2 & X_5=10,1.898,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules,4,0.3135,0.0131,0.7047,10,0.7,0.0061,0.0092,0.892,4.0,0.3142,0.1227,0.0115,-0.0008,0.0084,X_4=2 & X_5=10 | X_4=2 & X_9=1,1.898,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,rules,8,0.4368,0.0098,0.6913,10,0.1,-0.0188,0.0153,0.972,8.0,0.4377,0.1806,0.0075,-0.0554,0.019,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4 | X_3=14,1.898,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,rules,16,0.5574,0.0117,0.665,10,0.0,-0.0982,0.0186,0.973,16.0,0.5588,0.2745,0.0118,-0.126,0.0157,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4 | X_4=2 & X_10=1 | X_2=4 & X_3=9 & X_4=2 | X_3=14 | X_3=10 | X_3=12 & X_4=2,1.898,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,rules,32,0.6298,0.0075,0.6435,10,0.0,-0.1845,0.0178,0.965,31.2,0.6311,0.3153,0.01,-0.2384,0.0211,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4 | X_4=2 & X_10=1 | X_2=4 & X_3=9 & X_4=2 | X_3=14 | X_3=10 | X_3=12 & X_4=2 | X_9=1 & X_11=2 | X_2=5 & X_4=2 & X_11=2 | X_1=3 & X_3=9 & X_4=2 | X_3=12 & X_5=4 | X_3=9 & X_9=1 | X_3=9 & X_4=2 & X_5=4,1.898,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,rules_pure,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3=14,1.911,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules_pure,2,0.1891,0.006,0.7069,10,0.7,0.0057,0.0082,0.821,2.0,0.191,0.0,0.0,0.0,0.0,X_4=2 & X_5=10,1.911,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules_pure,4,0.3135,0.0131,0.7047,10,0.7,0.0061,0.0092,0.892,4.0,0.3142,0.1227,0.0115,-0.0008,0.0084,X_4=2 & X_5=10 | X_4=2 & X_9=1,1.911,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,rules_pure,8,0.4188,0.0088,0.7003,10,0.6,-0.0003,0.0164,0.933,7.2,0.4199,0.1627,0.0075,-0.0369,0.0191,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4,1.911,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,rules_pure,16,0.4682,0.01,0.6955,10,0.4,-0.0109,0.0172,0.856,15.6,0.473,0.1853,0.0134,-0.0386,0.0143,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4 | X_2=5 & X_5=4 & X_6=0 | X_3=12 & X_9=1 | X_3=9 & X_4=2 & X_10=1,1.911,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,rules_pure,32,0.5088,0.009,0.6937,10,0.3,-0.0163,0.0183,0.84,31.6,0.515,0.1942,0.0094,-0.0701,0.0198,X_4=2 & X_5=10 | X_4=2 & X_9=1 | X_2=4 & X_4=2 & X_5=4 | X_2=5 & X_5=4 & X_6=0 | X_3=12 & X_9=1 | X_3=9 & X_4=2 & X_10=1 | X_3=10 & X_8=1 | X_3=9 & X_5=12 & X_6=0 & X_11=2 | X_1=3 & X_3=12 & X_4=2 | X_1=3 & X_4=2 & X_5=13 | X_4=2 & X_5=12 & X_10=1 | X_3=14 & X_9=1,1.911,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,rules_disjoint,1,0.0528,0.0019,0.7409,10,0.9,0.0095,0.0032,1.0,1.0,0.0528,0.0,0.0,0.0,0.0,X_3=14,1.92,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules_disjoint,2,0.1891,0.006,0.7069,10,0.7,0.0057,0.0082,0.821,2.0,0.191,0.0,0.0,0.0,0.0,X_4=2 & X_5=10,1.92,adult >50K t=0.7 m=20 d<=4 puri,=,=
adult,>50K,0.7,20,2,4,purity,rules_disjoint,4,0.2494,0.0046,0.7268,10,1.0,0.0307,0.0054,0.843,4.0,0.2502,0.0586,0.0041,0.0238,0.0071,X_4=2 & X_5=10 | X_5=4 & X_9=1,1.92,adult >50K t=0.7 m=20 d<=4 puri,+,+
adult,>50K,0.7,20,2,4,purity,rules_disjoint,8,0.3604,0.0128,0.7109,10,0.9,0.0181,0.0103,0.817,8.0,0.3636,0.1042,0.0128,-0.0185,0.017,X_4=2 & X_5=10 | X_2=4 & X_4=2 & X_5=4 | X_2=5 & X_4=2 & X_5=4,1.92,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,rules_disjoint,16,0.4004,0.0122,0.7118,10,0.9,0.0217,0.0085,0.84,14.3,0.4039,0.1175,0.0101,-0.006,0.0066,X_4=2 & X_5=10 | X_2=4 & X_4=2 & X_5=4 | X_2=5 & X_4=2 & X_5=4 | X_3=9 & X_5=12 & X_6=0 & X_12=1 | X_1=3 & X_4=2 & X_5=13,1.92,adult >50K t=0.7 m=20 d<=4 puri,+,=
adult,>50K,0.7,20,2,4,purity,rules_disjoint,32,0.4351,0.0164,0.7115,10,0.9,0.0231,0.0077,0.834,30.4,0.44,0.1205,0.0119,-0.0307,0.014,X_4=2 & X_5=10 | X_2=4 & X_4=2 & X_5=4 | X_2=5 & X_4=2 & X_5=4 | X_3=9 & X_5=12 & X_6=0 & X_12=1 | X_1=3 & X_4=2 & X_5=13 | X_1=3 & X_5=3 & X_9=1 | X_2=1 & X_4=2 & X_5=4 | X_3=12 & X_6=1 & X_9=1 | X_3=12 & X_4=2 & X_5=12 & X_7=4 | X_1=3 & X_2=2 & X_5=11 & X_8=1,1.92,adult >50K t=0.7 m=20 d<=4 puri,+,-
adult,>50K,0.7,20,2,4,purity,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.0528,0.0019,-0.0095,0.0032,,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,-
adult,>50K,0.7,20,2,4,purity,tree,2,0.1713,0.005,0.7263,10,0.9,0.0198,0.0103,0.681,2.0,0.1758,-0.0178,0.0082,0.0141,0.0115,entropy-None-depth2-leaf6,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,tree,4,0.1713,0.005,0.7263,10,0.9,0.0198,0.0103,0.681,2.0,0.1758,-0.0195,0.0073,0.0129,0.0123,entropy-None-depth2-leaf6,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,tree,8,0.1907,0.0146,0.7532,10,1.0,0.0448,0.0114,0.426,5.4,0.1915,-0.0655,0.0127,0.0083,0.0182,gini-balanced-depth3-leaf11 | gini-balanced-depth3-leaf14,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,tree,16,0.2029,0.0221,0.7619,10,1.0,0.0558,0.0169,0.419,9.8,0.2054,-0.08,0.02,0.028,0.0174,gini-balanced-depth4-leaf22 | gini-balanced-depth4-leaf29 | gini-balanced-depth4-leaf27 | gini-balanced-depth4-leaf30,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,purity,tree,32,0.203,0.0222,0.761,10,1.0,0.055,0.0166,0.419,10.2,0.2055,-0.1116,0.0221,0.0011,0.0277,gini-balanced-depth4-leaf22 | gini-balanced-depth4-leaf29 | gini-balanced-depth4-leaf27 | gini-balanced-depth4-leaf30,0.573,adult >50K t=0.7 m=20 d<=4 puri,-,=
adult,>50K,0.7,20,2,4,certified,vsf,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf,2,0.105,0.0144,0.7514,10,1.0,0.022,0.0039,0.384,2.0,0.107,0.0,0.0,0.0,0.0,X_9+X_11#5,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf,4,0.1469,0.0046,0.7504,10,1.0,0.0321,0.007,0.644,3.4,0.1511,0.0,0.0,0.0,0.0,X_4+X_9+X_12#10,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf,8,0.1494,0.0077,0.7613,10,1.0,0.0387,0.0102,0.463,4.2,0.1541,0.0,0.0,0.0,0.0,X_4+X_9+X_12#10,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf,16,0.1559,0.0065,0.7854,10,1.0,0.0557,0.0158,0.359,7.4,0.1587,0.0,0.0,0.0,0.0,X_3+X_4+X_5+X_7#1198 | X_3+X_4+X_5+X_7#1730 | X_3+X_4+X_5+X_7#1871 | X_3+X_4+X_5+X_7#1362,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf,32,0.1559,0.0065,0.7854,10,1.0,0.0557,0.0158,0.359,7.4,0.1587,0.0,0.0,0.0,0.0,X_3+X_4+X_5+X_7#1198 | X_3+X_4+X_5+X_7#1730 | X_3+X_4+X_5+X_7#1871 | X_3+X_4+X_5+X_7#1362,14.316,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_partial,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,14.999,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_partial,2,0.105,0.0144,0.7514,10,1.0,0.022,0.0039,0.384,2.0,0.107,0.0,0.0,0.0,0.0,X_9+X_11#5,14.999,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_partial,4,0.1477,0.0043,0.7482,10,1.0,0.0311,0.0061,0.56,3.5,0.154,0.0009,0.0024,-0.0009,0.0034,X_4+X_9+X_12#10,14.999,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_partial,8,0.2111,0.0108,0.7827,10,1.0,0.0729,0.009,0.724,7.4,0.2145,0.0617,0.0089,0.0342,0.0112,X_3+X_4+X_7#303 | X_3+X_4+X_5#594 | X_3+X_4#91,14.999,adult >50K t=0.7 m=20 d<=4 cert,+,+
adult,>50K,0.7,20,2,4,certified,vsf_partial,16,0.2318,0.0078,0.7834,10,1.0,0.0819,0.0083,0.758,9.1,0.2345,0.0759,0.0049,0.0261,0.0183,X_3+X_4+X_7#303 | X_3+X_4+X_5#594 | X_3+X_4#91 | X_3+X_4#65,14.999,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,vsf_partial,32,0.2318,0.0078,0.7834,10,1.0,0.0819,0.0083,0.758,9.1,0.2345,0.0759,0.0049,0.0261,0.0183,X_3+X_4+X_7#303 | X_3+X_4+X_5#594 | X_3+X_4#91 | X_3+X_4#65,14.999,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,2,0.0737,0.0166,0.7752,10,1.0,0.02,0.0045,0.279,2.0,0.0746,-0.0313,0.026,-0.002,0.0029,X_3+X_9#19,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,4,0.1088,0.0219,0.779,10,1.0,0.0358,0.0076,0.408,3.7,0.1101,-0.0381,0.0242,0.0037,0.0044,X_3+X_9#19 | X_3+X_9#25,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,8,0.1258,0.0196,0.7883,10,1.0,0.0454,0.0069,0.451,5.4,0.1284,-0.0236,0.02,0.0066,0.0049,X_3+X_9#19 | X_3+X_9#25 | X_3+X_9#29,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,16,0.1328,0.0182,0.8234,10,1.0,0.0633,0.0077,0.347,9.4,0.1366,-0.023,0.0171,0.0075,0.012,X_3+X_4+X_9+X_10#144 | X_3+X_4+X_9+X_10#143 | X_3+X_4+X_9+X_10#199 | X_3+X_4+X_9+X_10#226,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,vsf_greedy,32,0.1364,0.0163,0.8246,10,1.0,0.0661,0.0096,0.353,10.6,0.1397,-0.0195,0.015,0.0104,0.0131,X_3+X_4+X_9+X_10#144 | X_3+X_4+X_9+X_10#143 | X_3+X_4+X_9+X_10#199 | X_3+X_4+X_9+X_10#226 | X_3+X_4+X_9+X_10#198,14.129,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,15.432,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules,2,0.105,0.0144,0.7514,10,1.0,0.022,0.0039,0.384,2.0,0.107,0.0,0.0,0.0,0.0,X_9=1 & X_11=2,15.432,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules,4,0.1592,0.0112,0.7443,10,1.0,0.0308,0.0066,0.62,3.6,0.1635,0.0123,0.0097,-0.0013,0.0021,X_4=2 & X_9=1 & X_12=1,15.432,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules,8,0.2641,0.014,0.7469,10,1.0,0.054,0.0075,0.662,7.9,0.2693,0.1147,0.0074,0.0152,0.0089,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=14 & X_4=2,15.432,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules,16,0.3542,0.0139,0.7356,10,1.0,0.0553,0.0136,0.784,15.7,0.3595,0.1984,0.0096,-0.0005,0.0156,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=9 & X_4=2 & X_5=4 | X_3=14 & X_4=2 | X_3=10 & X_4=2 | X_9=1 & X_11=2,15.432,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules,32,0.4228,0.0128,0.7182,10,0.8,0.0331,0.0219,0.811,31.8,0.4255,0.267,0.0098,-0.0226,0.022,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=9 & X_4=2 & X_5=4 | X_3=14 & X_4=2 | X_3=10 & X_4=2 | X_9=1 & X_11=2 | X_3=9 & X_4=2 & X_10=1 | X_3=9 & X_9=1 | X_2=4 & X_4=2 & X_5=4 & X_11=2 | X_5=10 & X_9=1 | X_4=2 & X_5=4 & X_10=1 | X_5=4 & X_9=1,15.432,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_pure,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,15.402,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_pure,2,0.105,0.0144,0.7514,10,1.0,0.022,0.0039,0.384,2.0,0.107,0.0,0.0,0.0,0.0,X_9=1 & X_11=2,15.402,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_pure,4,0.1592,0.0112,0.7443,10,1.0,0.0308,0.0066,0.62,3.6,0.1635,0.0123,0.0097,-0.0013,0.0021,X_4=2 & X_9=1 & X_12=1,15.402,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_pure,8,0.2641,0.014,0.7469,10,1.0,0.054,0.0075,0.662,7.9,0.2693,0.1147,0.0074,0.0152,0.0089,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=14 & X_4=2,15.402,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_pure,16,0.3542,0.0139,0.7356,10,1.0,0.0553,0.0136,0.784,15.7,0.3595,0.1984,0.0096,-0.0005,0.0156,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=9 & X_4=2 & X_5=4 | X_3=14 & X_4=2 | X_3=10 & X_4=2 | X_9=1 & X_11=2,15.402,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_pure,32,0.4228,0.0128,0.7182,10,0.8,0.0331,0.0219,0.811,31.8,0.4255,0.267,0.0098,-0.0226,0.022,X_4=2 & X_9=1 & X_12=1 | X_3=12 & X_4=2 & X_7=4 | X_3=9 & X_4=2 & X_5=4 | X_3=14 & X_4=2 | X_3=10 & X_4=2 | X_9=1 & X_11=2 | X_3=9 & X_4=2 & X_10=1 | X_3=9 & X_9=1 | X_2=4 & X_4=2 & X_5=4 & X_11=2 | X_5=10 & X_9=1 | X_4=2 & X_5=4 & X_10=1 | X_5=4 & X_9=1,15.402,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,15.391,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,2,0.105,0.0144,0.7514,10,1.0,0.022,0.0039,0.384,2.0,0.107,0.0,0.0,0.0,0.0,X_9=1 & X_11=2,15.391,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,4,0.1481,0.0044,0.7471,10,1.0,0.0305,0.0061,0.652,3.4,0.1532,0.0012,0.0022,-0.0016,0.003,X_4=2 & X_9=1 & X_12=1,15.391,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,8,0.1872,0.0161,0.7577,10,1.0,0.0479,0.0102,0.484,6.5,0.1912,0.0377,0.0178,0.0092,0.012,X_4=2 & X_9=1 & X_12=1 | X_3=9 & X_4=2 & X_10=1,15.391,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,16,0.2202,0.015,0.7721,10,1.0,0.068,0.0111,0.513,11.4,0.2233,0.0643,0.013,0.0122,0.0127,X_4=2 & X_9=1 & X_12=1 | X_3=9 & X_4=2 & X_10=1 | X_3=12 & X_4=2 & X_5=4 & X_9=0 | X_3=14 & X_4=2 & X_5=10 & X_9=0,15.391,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,rules_disjoint,32,0.2226,0.0119,0.7728,10,1.0,0.0696,0.0119,0.523,11.8,0.2255,0.0667,0.0099,0.0138,0.0127,X_4=2 & X_9=1 & X_12=1 | X_3=9 & X_4=2 & X_10=1 | X_3=12 & X_4=2 & X_5=4 & X_9=0 | X_3=14 & X_4=2 & X_5=10 & X_9=0,15.391,adult >50K t=0.7 m=20 d<=4 cert,+,=
adult,>50K,0.7,20,2,4,certified,tree,1,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,14.671,adult >50K t=0.7 m=20 d<=4 cert,=,=
adult,>50K,0.7,20,2,4,certified,tree,2,0.0,0.0,,0,,0.0,0.0,,0.0,0.0,-0.105,0.0144,-0.022,0.0039,,14.671,adult >50K t=0.7 m=20 d<=4 cert,-,-
adult,>50K,0.7,20,2,4,certified,tree,4,0.1091,0.026,0.8249,10,1.0,0.0483,0.0081,0.636,3.0,0.1117,-0.0378,0.0262,0.0162,0.012,entropy-None-depth3-leaf10,14.671,adult >50K t=0.7 m=20 d<=4 cert,=,=
