n,method,runs,tau,alpha,fwer,power,mean_coverage_d2,seconds
3000,per_schema,100,0.8,0.05,0.0,1.0,0.3889,32.1
3000,family_bonferroni,100,0.8,0.05,0.0,1.0,0.3889,21.7
3000,split,100,0.8,0.05,0.0,1.0,0.3889,10.4
