tau,m,selection,method,budget,coverage,coverage_se,purity,purity_reaches_tau,train_union_purity,net_coverage,minus_vsf,minus_vsf_se,net_minus_vsf,net_minus_vsf_se,stability,conditions
0.9,20,purity,tree,4,0.4731,0.023,0.9443,0.92,,0.2054,0.0023,0.0062,-0.029,0.078,0.987,2.8
0.9,20,purity,tree,8,0.4731,0.023,0.9443,0.92,,0.2054,0.0023,0.0062,-0.029,0.078,0.987,2.8
0.9,20,purity,tree,16,0.4731,0.023,0.9443,0.92,,0.2054,0.0023,0.0062,-0.029,0.078,0.987,2.8
0.9,20,purity,tree,32,0.4731,0.023,0.9443,0.92,,0.2054,0.0023,0.0062,-0.029,0.078,0.987,2.8
0.7,1,certified,psg_topk,1,0.6813,0.0246,0.7437,0.88,0.7421,0.1284,0.6813,0.0246,0.1284,0.0563,1.0,1.0
0.7,1,certified,psg_topk,2,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.4215,0.0411,-0.1379,0.0467,0.957,2.0
0.7,1,certified,psg_topk,4,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.3473,0.066,-0.1862,0.0576,0.957,4.0
0.7,1,certified,psg_topk,8,0.6888,0.0302,0.7338,0.84,0.7342,0.0994,0.3473,0.066,-0.1862,0.0576,0.957,8.0
0.7,1,certified,psg_topk,16,0.7311,0.0364,0.6887,0.52,0.695,-0.0847,0.3897,0.0693,-0.3703,0.1508,0.846,16.0
0.7,1,certified,psg_topk,32,0.8684,0.0269,0.584,0.0,0.5838,-0.6077,0.527,0.0622,-0.8933,0.1714,0.906,32.0
0.7,1,certified,psg_filtered,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0
0.7,1,certified,psg_filtered,2,0.2673,0.0248,0.9618,1.0,0.9656,0.2373,0.0,0.0,0.0,0.0,0.978,2.0
0.7,1,certified,psg_filtered,4,0.3421,0.0589,0.946,1.0,0.9589,0.2861,0.0006,0.0016,0.0006,0.0016,0.767,3.12
